Using device Hawaii
1	59
2	56
3	55
4	55
5	55
6	58
7	55
8	56
9	56
10	55
11	58
12	55
13	55
14	55
15	55
16	55
17	55
18	56
19	55
20	56
21	56
22	55
23	56
24	56
25	56
26	56
27	56
28	55
29	57
30	56
31	56
32	57
33	58
34	58
35	61
36	60
37	60
38	61
39	63
40	67
41	66
42	75
43	89
44	89
45	104
46	107
47	110
48	120
49	122
50	135
51	136
52	150
53	170
54	162
55	161
56	169
57	181
58	181
59	214
60	188
61	204
62	209
63	217
64	222
65	229
66	232
67	240
68	227
69	236
70	247
71	246
72	248
73	268
74	266
75	260
76	268
77	280
78	275
79	286
80	295
81	307
82	297
83	308
84	293
85	297
86	295
87	299
88	326
89	312
90	318
91	320
92	333
93	365
94	365
95	366
96	346
97	349
98	376
99	370
100	365
101	370
102	358
103	382
104	360
105	410
106	362
107	373
108	456
109	383
110	397
111	400
112	421
113	423
114	425
115	429
116	456
117	451
118	461
119	486
120	407
121	487
122	506
123	515
124	488
125	499
126	516
127	523
128	528
129	576
130	593
131	566
132	579
133	611
134	609
135	621
136	660
137	650
138	691
139	701
140	733
141	721
142	751
143	757
144	736
145	775
146	797
147	804
148	833
149	822
150	857
151	857
152	876
153	891
154	847
155	938
156	876
157	949
158	974
159	965
160	852
161	981
162	1002
163	1008
164	996
165	1037
166	980
167	1036
168	999
169	1073
170	1138
171	1134
172	1149
173	1084
174	1115
175	1110
176	1119
177	1190
178	1166
179	1137
180	1140
181	1153
182	1158
183	1200
184	1162
185	1217
186	1188
187	1229
188	1219
189	1221
190	1249
191	1259
192	1276
193	1317
194	1369
195	1310
196	1275
197	1298
198	1288
199	1251
200	1280
201	1342
202	1311
203	1352
204	1307
205	1333
206	1339
207	1308
208	1346
209	1360
210	1363
211	1372
212	1357
213	1388
214	1377
215	1404
216	1383
217	1418
218	1419
219	1432
220	1436
221	1446
222	1444
223	1436
224	1439
225	1467
226	1450
227	1486
228	1463
229	1487
230	1475
231	1514
232	1549
233	1522
234	1528
235	1550
236	1381
237	1561
238	1540
239	1575
240	1546
241	1589
242	1562
243	1483
244	1599
245	1599
246	1606
247	1611
248	1592
249	1629
250	1631
251	1629
252	1625
253	1670
254	1667
255	1667
256	1679
257	1689
258	1691
259	1702
260	1698
261	1703
262	1697
263	1719
264	1687
265	1739
266	1699
267	1751
268	1762
269	1763
270	1695
271	1776
272	1774
273	1790
274	1783
275	1807
276	1783
277	1787
278	1766
279	1829
280	1782
281	1851
282	1784
283	1862
284	1806
285	1873
286	1880
287	1881
288	1895
289	1907
290	1932
291	1932
292	1916
293	1945
294	1890
295	1938
296	1919
297	2088
298	1959
299	1976
300	1891
301	1972
302	1959
303	2117
304	2039
305	1813
306	2016
307	2019
308	2026
309	2022
310	2035
311	2045
312	2055
313	2060
314	2041
315	2070
316	1883
317	2084
318	2032
319	2085
320	2034
321	2105
322	2039
323	2108
324	2010
325	2135
326	2140
327	2160
328	2166
329	2168
330	2147
331	2172
332	2188
333	2215
334	2236
335	2179
336	2251
337	2244
338	2223
339	2232
340	2241
341	2242
342	2239
343	2263
344	2246
345	2284
346	2231
347	2301
348	1999
349	2296
350	2057
351	2313
352	2239
353	2326
354	2254
355	2340
356	2334
357	2349
358	2407
359	2353
360	2355
361	2449
362	2505
363	2801
364	2668
365	2769
366	2580
367	2485
368	2451
369	2311
370	2493
371	2387
372	2500
373	2463
374	2493
375	2484
376	2471
377	2484
378	2475
379	2496
380	2479
381	2505
382	2459
383	2538
384	2454
385	2543
386	2472
387	2534
388	2447
389	2559
390	2469
391	2563
392	2579
393	2582
394	2729
395	2760
396	2631
